LIVE AZUMA 2025 - Day1(10/18) セットリスト,
LIVE AZUMA 2025,
https://image.music.rakuten.net/b/4/b40a/1892/3c1f/18c1/5a9c/becc/2cbc/af91.s2.jpg,
https://image.music.rakuten.net/7/d/7d2a/faf4/56ad/dafd/c4a5/327d/71d4/cdbf.s2.jpg,
https://image.music.rakuten.net/a/5/a54c/a75c/11b2/004b/2eed/ca36/dcda/1291.s2.jpg,
https://image.music.rakuten.net/8/d/8db9/e60e/bddf/d105/7984/fc26/a133/31ea.s2.jpg,
Breaking Thru the Line ,IS:SUE 
CONNECT ,IS:SUE 
THE FLASH GIRL ,IS:SUE 
NO Game Over ,IS:SUE 
コエ (☆Taku Takahashi Remix) ,IS:SUE 
STATIC ,IS:SUE 
Starstruck ,IS:SUE 
Love MySelf ,IS:SUE 
Bitch!! ,THE ORAL CIGARETTES 
ENEMY ,THE ORAL CIGARETTES 
Naked ,THE ORAL CIGARETTES 
OD ,THE ORAL CIGARETTES 
DUNK feat.Masato (coldrain) ,THE ORAL CIGARETTES 
狂乱 Hey Kids!! ,THE ORAL CIGARETTES 
ReI ,THE ORAL CIGARETTES 
Endless Sorrow ,HEY-SMITH 
2nd Youth ,HEY-SMITH 
Say My Name ,HEY-SMITH 
Radio ,HEY-SMITH 
Into The Soul ,HEY-SMITH 
California ,HEY-SMITH 
Be The One ,HEY-SMITH 
Inside Of Me ,HEY-SMITH 
Summer Breeze ,HEY-SMITH 
You Are The Best ,HEY-SMITH 
We sing our song ,HEY-SMITH 
Don't Worry My Friend ,HEY-SMITH 
フェイクショー ,Omoinotake 
彼方 ,Omoinotake 
蕾 ,Omoinotake 
Gravity ,Omoinotake 
ひとりごと ,Omoinotake 
イノセントブルー ,Omoinotake 
幾億光年 ,Omoinotake 
トニカ ,Omoinotake 
Screaming ,BAND-MAID 
Choose me ,BAND-MAID 
Protect You ,BAND-MAID 
Daydreaming ,BAND-MAID 
HATE? ,BAND-MAID 
What is justice? ,BAND-MAID 
DOMINATION ,BAND-MAID 
Ready to Rock ,BAND-MAID 
きらきら武士 feat. Deyonná ,レキシ 
ギガアイシテル ,レキシ 
SHIKIBU feat. 阿波の踊り子 ,レキシ 
KMTR645 feat. ネコカミノカマタリ ,レキシ 
FANFARE ,INI 
DOMINANCE ,INI 
Bullseye ,INI 
Party Goes On ,INI 
INItialize ,INI 
What A Night ,INI 
君がいたから ,INI 
Potion ,INI 
Rocketeer ,INI 
HERO ,INI 
この長い旅の中で ,Saucy Dog 
シンデレラボーイ ,Saucy Dog 
雀ノ欠伸 ,Saucy Dog 
スパイス ,Saucy Dog 
雷に打たれて ,Saucy Dog 
夢みるスーパーマン ,Saucy Dog 
現在を生きるのだ。 ,Saucy Dog 
ゴーストバスター ,Saucy Dog 
よくできました ,Saucy Dog 
いつか ,Saucy Dog 
優しさに溢れた世界で ,Saucy Dog 
Be yourself ,Saucy Dog 
Strawberry fields ,S.A.R. 
Back to Wild ,S.A.R. 
CAP ,S.A.R. 
Abstract Blue ,S.A.R. 
MOON ,S.A.R. 
pool ,S.A.R. 
Kaminari ,S.A.R. 
Uptown ,S.A.R. 
Cannonball (feat. 寺久保伶矢) ,S.A.R. 
Synergy ,柴田聡子 
雑感 ,柴田聡子 
